,p,td,ts,o,tu,datetime,lx,ly
1110,5.984444141,173.4770508,,84.96239471,1.710037231,2023-12-16 14:04:12,0.0,0.0
1111,5.920136929,173.1489563,,87.26715088,1.709867954,2023-12-16 14:04:19,0.0,0.0
1112,5.946256638,172.5810394,,85.7231369,1.709344029,2023-12-16 14:04:26,0.0,0.0
1113,5.999520302,172.7066345,,85.2815094,1.709190965,2023-12-16 14:04:33,0.0,0.0
1114,5.959759235,172.6095581,,84.9543457,1.704992056,2023-12-16 14:04:40,0.0,0.0
1115,5.992682934,172.2013397,,86.08255005,1.710125923,2023-12-16 14:04:47,0.0,0.0
1116,5.936580181,172.052887,,86.91419983,1.70947361,2023-12-16 14:04:54,0.0,0.0
1117,5.911247253,171.4931641,,85.49588013,1.70969069,2023-12-16 14:05:01,0.0,0.0
1118,5.971008301,171.4245911,,86.28884125,1.710117936,2023-12-16 14:05:08,0.0,0.0
1119,5.912751675,171.6530914,,86.36621857,1.709924221,2023-12-16 14:05:15,0.0,0.0
1120,5.869264603,171.1075287,,87.57984161,1.70924747,2023-12-16 14:05:22,0.0,0.0
1121,5.870427608,171.5845337,,86.94161224,1.709803462,2023-12-16 14:05:29,0.0,0.0
1122,5.837710381,171.2789001,,87.86187744,1.700221539,2023-12-16 14:05:36,0.0,0.0
1123,5.940340996,171.3531647,,86.76269531,1.709601998,2023-12-16 14:05:43,0.0,0.0
1124,5.813846111,170.6817322,,89.30275726,1.709900022,2023-12-16 14:05:50,0.0,0.0
1125,5.903964996,171.3988953,,87.95212555,1.710117459,2023-12-16 14:05:57,0.0,0.0
1126,5.826496124,170.8760681,,89.46556091,1.708401442,2023-12-16 14:06:05,0.0,0.0
1127,5.89740181,171.9015198,,86.33396149,1.708739161,2023-12-16 14:06:12,0.0,0.0
1128,5.659724236,170.5360107,,92.1700592,1.709344387,2023-12-16 14:06:19,0.0,0.0
1129,5.880821705,171.9729309,,88.23738098,1.709900379,2023-12-16 14:06:26,0.0,0.0
1130,5.930699825,172.098526,,86.87390137,1.705008864,2023-12-16 14:06:33,0.0,0.0
1131,5.998324394,172.4240265,,86.36136627,1.708659172,2023-12-16 14:06:40,0.0,0.0
1132,6.066357613,172.90065,,84.98334503,1.709126234,2023-12-16 14:06:47,0.0,0.0
1133,6.047042847,173.2088623,,85.28311157,1.709859729,2023-12-16 14:06:54,0.0,0.0
1134,5.970083714,173.0604858,,86.00357819,1.708561897,2023-12-16 14:07:01,0.0,0.0
1135,5.943965435,173.4029236,,85.71186829,1.709182739,2023-12-16 14:07:08,0.0,0.0
1136,6.002768517,173.7280731,,86.07608032,1.708957314,2023-12-16 14:07:15,0.0,0.0
1137,5.920819759,173.5997467,,87.13178253,1.709271431,2023-12-16 14:07:22,0.0,0.0
1138,5.934732437,173.1831818,,86.91581726,1.709650517,2023-12-16 14:07:29,0.0,0.0
1139,6.063726425,173.830719,,83.09765625,1.708860874,2023-12-16 14:07:36,0.0,0.0
1140,5.984407902,174.0189514,,84.89633942,1.70934391,2023-12-16 14:07:43,0.0,0.0
1141,5.922084332,173.6652679,,86.91257477,1.708917499,2023-12-16 14:07:50,0.0,0.0
1142,5.919247627,174.0617065,,87.5524292,1.709013462,2023-12-16 14:07:57,0.0,0.0
1143,5.850768566,173.3515472,,89.17383575,1.708530784,2023-12-16 14:08:04,0.0,0.0
1144,5.927075386,174.241394,,86.64987946,1.708843946,2023-12-16 14:08:11,0.0,0.0
1145,5.890017509,174.1472778,,88.00533295,1.709021449,2023-12-16 14:08:18,0.0,0.0
1146,6.012887001,174.1387634,,86.51930237,1.708627224,2023-12-16 14:08:25,0.0,0.0
1147,6.038084984,174.8258209,,86.22115326,1.709593296,2023-12-16 14:08:32,0.0,0.0
1148,6.009196758,174.5151215,,85.32666016,1.708352685,2023-12-16 14:08:39,0.0,0.0
1149,6.012205601,174.9340973,,85.7602005,1.706902504,2023-12-16 14:08:46,0.0,0.0
1150,6.472413063,176.8797302,,19.5845356,1.70255053,2023-12-16 14:08:53,0.0,0.0
1151,6.715690613,244.7750854,,25.44153404,1.690849423,2023-12-16 14:09:01,0.0,0.0
1152,7.713093758,233.767868,,18.7996273,1.688996434,2023-12-16 14:09:08,0.0,0.0
1153,8.161061287,243.9111633,,11.44857025,1.70166409,2023-12-16 14:09:15,0.0,0.0
1154,8.169983864,218.4447937,,10.98278332,1.700406551,2023-12-16 14:09:22,0.0,0.0
1155,8.156478882,200.9111633,,11.92080593,1.691896915,2023-12-16 14:09:29,0.0,0.0
1156,8.038598061,195.1816101,,13.51802254,1.709029675,2023-12-16 14:09:36,0.0,0.0
1157,8.111453056,194.4846649,,12.08681583,1.705685139,2023-12-16 14:09:43,0.0,0.0
1158,8.113918304,191.9911041,,11.7241745,1.710681796,2023-12-16 14:09:50,0.0,0.0
1159,8.012854576,190.4762115,,12.91684914,1.698344231,2023-12-16 14:09:57,0.0,0.0
1160,8.061608315,193.0249939,,11.99655437,1.703050494,2023-12-16 14:10:04,0.0,0.0
1161,8.071931839,196.7921906,,11.75479698,1.706547499,2023-12-16 14:10:11,0.0,0.0
1162,8.072309494,196.4933014,,11.87084103,1.708280325,2023-12-16 14:10:18,0.0,0.0
1163,7.981504917,196.6850281,,12.46395397,1.706394672,2023-12-16 14:10:25,0.0,0.0
1164,7.99384737,195.9799805,,12.61545658,1.701648116,2023-12-16 14:10:32,0.0,0.0
1165,8.018019676,194.8825684,,12.22058678,1.706305742,2023-12-16 14:10:39,0.0,0.0
1166,8.007724762,193.792984,,12.76051331,1.706507206,2023-12-16 14:10:46,0.0,0.0
1167,7.928103447,192.5815277,,13.73882771,1.707675934,2023-12-16 14:10:53,0.0,0.0
1168,7.978600979,192.5419922,,13.38263798,1.706894398,2023-12-16 14:11:00,0.0,0.0
1169,7.916136742,192.4854889,,14.01443195,1.706160545,2023-12-16 14:11:07,0.0,0.0
1170,7.850801945,192.2481537,,14.47215939,1.705395103,2023-12-16 14:11:14,0.0,0.0
1171,7.91196537,192.5617218,,13.22468853,1.705709934,2023-12-16 14:11:21,0.0,0.0
1172,7.913882256,192.454422,,13.99347782,1.704323173,2023-12-16 14:11:28,0.0,0.0
1173,7.927180767,192.3809509,,14.4157486,1.705064535,2023-12-16 14:11:35,0.0,0.0
1174,7.915251255,192.4063873,,13.62117386,1.704911351,2023-12-16 14:11:42,0.0,0.0
1175,7.944275379,192.2171173,,13.00871658,1.70456481,2023-12-16 14:11:49,0.0,0.0
1176,7.924240112,191.7593689,,12.90556908,1.70454061,2023-12-16 14:11:57,0.0,0.0
1177,7.912581444,191.6831665,,13.69369888,1.705241442,2023-12-16 14:12:04,0.0,0.0
1178,7.855626106,191.787735,,14.44637203,1.704524875,2023-12-16 14:12:11,0.0,0.0
1179,7.85835743,191.7622681,,14.83479595,1.704089522,2023-12-16 14:12:18,0.0,0.0
1180,7.821983337,191.383606,,16.20153809,1.703791976,2023-12-16 14:12:25,0.0,0.0
1181,7.863246918,191.6153717,,14.4302578,1.703356504,2023-12-16 14:12:32,0.0,0.0
1182,7.831142902,191.2310028,,15.83567429,1.704508185,2023-12-16 14:12:39,0.0,0.0
1183,7.897847652,191.52211,,13.17149925,1.70105195,2023-12-16 14:12:46,0.0,0.0
1184,7.871078014,191.5758057,,14.20783806,1.703356028,2023-12-16 14:12:53,0.0,0.0
1185,7.938737869,191.6436005,,12.41560555,1.703533769,2023-12-16 14:13:00,0.0,0.0
1186,7.861232281,191.29039,,14.84607887,1.703574419,2023-12-16 14:13:07,0.0,0.0
1187,7.852099895,191.468399,,14.09179306,1.703533769,2023-12-16 14:13:14,0.0,0.0
1188,7.859144211,191.4797058,,14.48344135,1.703405023,2023-12-16 14:13:21,0.0,0.0
1189,7.880886555,191.3610229,,14.13531113,1.703195333,2023-12-16 14:13:28,0.0,0.0
1190,7.879009247,191.3892822,,13.56637192,1.704113603,2023-12-16 14:13:35,0.0,0.0
1191,7.87634182,191.5475616,,13.621171,1.699730396,2023-12-16 14:13:42,0.0,0.0
1192,7.882016659,191.7566376,,14.72681141,1.703831077,2023-12-16 14:13:49,0.0,0.0
1193,7.905776978,191.8838043,,13.82263947,1.703485131,2023-12-16 14:13:56,0.0,0.0
1194,7.857777596,191.8357697,,14.17721176,1.702945709,2023-12-16 14:14:03,0.0,0.0
1195,7.862085819,191.4457703,,14.41252708,1.703284264,2023-12-16 14:14:10,0.0,0.0
1196,7.856306553,191.4316711,,15.22966957,1.703340292,2023-12-16 14:14:17,0.0,0.0
1197,7.858906746,191.6746826,,14.73325825,1.702840447,2023-12-16 14:14:24,0.0,0.0
1198,7.841469765,191.9148712,,14.55113316,1.703179598,2023-12-16 14:14:31,0.0,0.0
1199,7.803554058,191.6916504,,16.11128044,1.695522904,2023-12-16 14:14:38,0.0,0.0
1200,7.829367638,191.8781433,,15.79054928,1.702873111,2023-12-16 14:14:45,0.0,0.0
1201,7.847213745,191.9374237,,15.11523438,1.701696634,2023-12-16 14:14:53,0.0,0.0
1202,7.798391819,191.9176941,,15.92270756,1.702889442,2023-12-16 14:15:00,0.0,0.0
1203,7.848751545,191.7114105,,15.46659184,1.702413321,2023-12-16 14:15:07,0.0,0.0
1204,7.850528717,192.1804047,,15.86146164,1.701979041,2023-12-16 14:15:14,0.0,0.0
1205,7.785846233,191.7565918,,17.12182808,1.701462507,2023-12-16 14:15:21,0.0,0.0
1206,7.823966503,192.0646057,,16.12739944,1.70113194,2023-12-16 14:15:28,0.0,0.0
1207,7.174635887,1133.088379,,23.65091515,1.693106055,2023-12-16 14:15:35,0.0,0.0
1208,6.743522644,1136.069336,,27.43844986,1.696281075,2023-12-16 14:15:42,0.0,0.0
1209,6.893026829,1133.995483,,32.61369324,1.666947365,2023-12-16 14:15:49,0.0,0.0
1210,6.946290493,1131.421631,,35.01355362,1.68661046,2023-12-16 14:15:56,0.0,0.0
1211,7.045608521,1131.429077,,32.35259247,1.646606803,2023-12-16 14:16:03,0.0,0.0
1212,7.164923668,1130.669678,,29.23069,1.663627625,2023-12-16 14:16:10,0.0,0.0
1213,7.296786308,1131.019897,,27.62219238,1.656463146,2023-12-16 14:16:17,0.0,0.0
1214,7.309299946,1131.721313,,25.34322166,1.658147693,2023-12-16 14:16:24,0.0,0.0
1215,7.381845474,1130.435303,,27.44007111,1.632182956,2023-12-16 14:16:31,0.0,0.0
1216,7.40642643,1131.516357,,29.10014725,1.662080407,2023-12-16 14:16:38,0.0,0.0
1217,7.426393986,1131.567749,,25.71391487,1.654585242,2023-12-16 14:16:45,0.0,0.0
1218,7.420992374,1132.027954,,25.56402779,1.665247083,2023-12-16 14:16:52,0.0,0.0
1219,7.456616402,1131.860352,,26.22160912,1.662039638,2023-12-16 14:16:59,0.0,0.0
1220,7.44530201,1131.648071,,25.24651527,1.665738106,2023-12-16 14:17:06,0.0,0.0
1221,7.452035904,1131.399414,,26.01692772,1.66288662,2023-12-16 14:17:13,0.0,0.0
1222,7.491693497,1132.385986,,28.92285538,1.667100549,2023-12-16 14:17:20,0.0,0.0
1223,7.522358894,1130.27478,,25.21750832,1.659203768,2023-12-16 14:17:27,0.0,0.0
1224,7.531727314,1131.786621,,25.60915565,1.671331286,2023-12-16 14:17:34,0.0,0.0
1225,7.517949104,1131.545288,,28.25721169,1.661830425,2023-12-16 14:17:42,0.0,0.0
1226,7.493775845,1132.291016,,26.44242287,1.673724771,2023-12-16 14:17:49,0.0,0.0
1227,7.491008759,1132.14502,,26.10718346,1.664852142,2023-12-16 14:17:56,0.0,0.0
1228,7.527793884,1132.138062,,25.28359222,1.664763451,2023-12-16 14:18:03,0.0,0.0
1229,7.566805363,1131.012085,,25.48505592,1.661878824,2023-12-16 14:18:10,0.0,0.0
1230,7.485401154,1132.437622,,24.89355278,1.671315432,2023-12-16 14:18:17,0.0,0.0
1231,7.538428307,1130.63208,,25.71392441,1.662749171,2023-12-16 14:18:24,0.0,0.0
1232,7.475832462,1131.582275,,24.36490822,1.665891409,2023-12-16 14:18:31,0.0,0.0
1233,7.483007431,1132.415161,,25.80901146,1.6658113,2023-12-16 14:18:38,0.0,0.0
1234,7.461606979,1131.852539,,26.82761574,1.664843917,2023-12-16 14:18:45,0.0,0.0
1235,7.461503029,1131.911133,,25.54629517,1.663297534,2023-12-16 14:18:52,0.0,0.0
1236,7.478838921,1130.793457,,26.9549427,1.664772034,2023-12-16 14:18:59,0.0,0.0
1237,7.501573086,1130.75708,,25.07084084,1.657196403,2023-12-16 14:19:06,0.0,0.0
1238,7.486257076,1132.042603,,24.31977654,1.661613107,2023-12-16 14:19:13,0.0,0.0
1239,7.50123167,1130.026245,,27.40945244,1.657841444,2023-12-16 14:19:20,0.0,0.0
1240,7.481983185,1131.187622,,26.44563866,1.662080288,2023-12-16 14:19:27,0.0,0.0
1241,7.510870934,1131.713501,,27.14673233,1.663313389,2023-12-16 14:19:34,0.0,0.0
1242,7.518325806,1131.143555,,28.68431854,1.662822008,2023-12-16 14:19:41,0.0,0.0
1243,7.46089077,1131.494751,,26.5165596,1.66195941,2023-12-16 14:19:48,0.0,0.0
1244,7.400990963,1132.09375,,28.47801399,1.660540819,2023-12-16 14:19:55,0.0,0.0
1245,7.38957262,1131.932739,,27.15480042,1.663144231,2023-12-16 14:20:02,0.0,0.0
